Library: CCHS Member: 01. CCHS 2000-2001 Canadian Community Health Survey
Back Search    Search
Variable Name	Description	Type
RACA_6C	Needs help - housework	Num8
RACA_6D	Needs help - heavy household chores	Num8
RACA_6E	Needs help - personal care	Num8
RACA_6F	Needs help - moving about inside house	Num8
RACADIMP	Impact of health problems - (D)	Num8
RACAF6	Needs help with at least one task - (F)	Num8
RACAG5	Cause of health problem - (G)	Num8
REPA_1	Rep. strain injury - past 12 months	Num8
REPA_4A	Rep. strain - sports / exercise	Num8
REPA_4B	Rep. strain - leisure or hobby	Num8
REPA_4C	Rep. strain - job or business	Num8
REPA_4D	Rep. strain - chores, unpaid work, ed.	Num8
REPA_4E	Rep. strain - sleeping, eating, care	Num8
REPA_4F	Rep. strain - other	Num8
REPAG3	Rep. strain - body part affected - (G)	Num8
SACA_1	Time spent - on a computer	Num8
SACA_2	Time spent - playing video games	Num8
SACA_3	Time spent - watching television/videos	Num8
SACA_4	Time spent - reading	Num8
SACADTOT	Time - selected sed. activities - (D)	Num8
SCAA_1	Has used nicotine patch	Num8
SCAA_2	Usefulness of nicotine patch	Num8
SCAA_3	Has used nicotine gum or candy	Num8
SCAA_4	Usefulness of nicotine gum or candy	Num8
SCAA_5	Tried to quit smoking - past 12 months	Num8
SCAA_6	Tried to quit - nicotine patch	Num8
SCAA_7	Tried to quit - nicotine gum or candy	Num8
SCAADQUI	Attempted to stop smoking - (D)	Num8
SDCA_8	Currently attending - school/col./univ.	Num8
SDCA_9	Full-time student/part-time student	Num8
SDCAFIMM	Immigrant status (D)	Num8
SDCAGCBG	Country of birth - (G)	Num8
